|in |vo|ce as|sai |più |che |la |no|stra |vi|va.
|ché |per |et|ter|na |leg|ge è |sta|bi|li|to
|che |son |quin|c’ en|tro, |se |l’ un|ghia |ti |ba|sti
|sa|ver |fu |mes|so, |che, |se ’l |ve|ro è |ve|ro,
|e |sem|pre |di |mi|rar |fa|cea|si ac|ce|sa.
|E |Bë|a|tri|ce:« |For|se |mag|gior |cu|ra,
|on|de |ces|sar |le |sue |o|pe|re |bie|ce
|Quan|do |noi |fum|mo |là |do|v’ el |va|neg|gia
|ed |el |mi |dis|se:« |Quel |fu ’l |du|ro |ca|mo
|Noi |vol|gen|do i|vi |le |no|stre |per|so|ne,
|ri|no|vel|la|te |di |no|vel|la |fron|da,
|Pa|ro|le |fu|ron |que|ste |del |mio |du|ca;
|dal |mu|to a|spet|ti |quin|di |le |no|vel|le.
|be|stia|li|ta|de? e |co|me in|con|te|nen|za
|co|me ’l |ma|e|stro |mio |per |quel |vi|va|gno,
|te|nen|do |li oc|chi |con |fa|ti|ca |fi|si
|‘la|bï|a |më|a, |Do|mi|ne’ |per |mo|do
|qual |è |co|lui |che |ne |la |fos|sa è |mes|so.
|è |da |ma|te|ra ed |è |con |lei |u|ni|ta,
|tal |vo|ce u|scì |del |cie|lo e |co|tal |dis|se:
|nel |cal|do |suo |ca|ler |fis|si e |at|ten|ti,
|E ’l |san|to |se|ne:« Ac|ciò |che |tu |as|som|mi
|ver|so |tal |par|te |ch’ io |to|glie|va i |rag|gi
|e |lì |co|min|cia a |va|gheg|giar |ne |l’ ar|te
|che |tu |ver|rai |ne |l’ or|ri|bil |sab|bio|ne.
|Pe|rò |com|pren|der |puoi |che |tut|ta |mor|ta
|e |di|man|da |ne |fei |con |prie|ghi |mi|sta;
|far |di |co|stui |a |le |fan|go|se |gen|ti,
|per |far |di |sé |la |mia |vo|glia |con|ten|ta.
|se |più |lu|me |vi |fos|se, |tut|to ad |i|mo.
|se|gnar |po|ria, |s’ e’ |fes|se |quel |cam|mi|no.
|che |per |ma|re e |per |ter|ra |bat|ti |l’ a|li,
|Vat|te|ne o|mai: |non |vo’ |che |più |t’ ar|re|sti;
|Di |so|pra |fiam|meg|gia|va il |bel|lo ar|ne|se
|san|za |più |a|spet|tar, |la|sciai |la |ri|va,
|Na|po|li |l’ ha, |e |da |Bran|di|zio è |tol|to.
|con |que|sto |mon|te in |su |la |ter|ra |sta|re
|in|fi|no al |gros|so, e |l’ al|tro |den|tro |sta|va.
|a |che |si |par|ton |le |sa|cre |sca|lee.
|ma |quan|do al |mal |si |tor|ce, o |con |più |cu|ra
|ap|pi|gliò |sé |a |le |vel|lu|te |co|ste;
|e |men|tre |che |di |là |per |me |si |stet|te,
|fes|se |cre|an|do, e |a |la |sua |bon|ta|te
|tur|ba|to un |po|co |dis|se:« Or |ve|di, |fi|glio:
|lo |re|ge et|ter|no |con |le |ro|te |ma|gne».
|vi|di u|na |por|ta, e |tre |gra|di |di |sot|to
|che |quel |di|nan|zi a |quel |di |re|tro |git|ta;
|se |le |fa|zion |che |por|ti |non |son |fal|se,
« |Voi |vi|gi|la|te |ne |l’ et|ter|no |die,
« |se |voi |sie|te om|bre |che |Dio |sù |non |de|gni,
|Nel |ciel |che |più |de |la |sua |lu|ce |pren|de
|tal|vol|ta |l’ om|bra |che, |per |sua |di|fe|sa,
|giu|sto |giu|di|cio |da |le |stel|le |cag|gia
|E ’n |la |sua |vo|lon|ta|de è |no|stra |pa|ce:
|Pe|rò |ne |la |giu|sti|zia |sem|pi|ter|na
|che |fé |pa|rer |lo |buon |Mar|zuc|co |for|te.
|On|d’ io |ri|spuo|si |lei:« |Non |mi |ri|cor|da
|ché |l’ oc|chio |nol |po|tea |me|na|re a |lun|ga
|Co|sì |dis|se ’l |ma|e|stro; e |quel|li in |fret|ta
|e |co|me |stel|la in |cie|lo in |me |scin|til|la».
|cui |più |si |con|ve|nia |di|cer“ |Mal |fe|ci“,
|San|za |ri|po|so |mai |e|ra |la |tre|sca
|da |po|ter |so|di|sfar |per |sé |di|schiu|so.
|che |di |die|tro a |Mi|còl |mi |bian|cheg|gia|va.
|a |la |ri|pa |di |fuor |son |pon|ti|cel|li,
|fer|mos|si, |co|me a |can|del|lier |can|de|lo.
|sù|bi|ta |vo|ce |dis|se; on|d’ io |mi |scos|si
|vo|ci al|te e |fio|che, e |suon |di |man |con |el|le
|e |fe|ce i |prie|ghi |miei |es|ser |con|ten|ti,
|co|sì |nac|que |di |quel|lo un |al|tro |poi,
|che |gia|ce in |co|sta e |nel |fon|do |so|per|chia».
|Mä|o|met|to |mi |dis|se e|sta |pa|ro|la;
|Quan|d’ el|li eb|be ’l |suo |dir |co|sì |com|piu|to,
|Al|lor, |co|me |di |mia |col|pa |com|pun|to,
|Con |ca|gne |ma|gre, |stu|dï|o|se e |con|te
|più |ca|ra|men|te; e |que|sto è |quel|lo |stra|le
|e |vi|di |cen|to |spe|ru|le |che ’n|sie|me
|lo |trop|po |di|man|dar |ch’ io |fo |li |gra|va”.
|Pa|re|re in|giu|sta |la |no|stra |giu|sti|zia
|tan|to è |ri|spo|sto a |tut|te |no|stre |pre|ce
|a |la |sa|lu|te |sua |e|ran |già |cor|ti,
|in|fi|no ad |es|so, |suc|ce|do|no E|bree,
|vi|sto |m’ av|re|sti |di |li|vo|re |spar|so.
|Tal |e|ra |io |in |quel|la |tur|ba |spes|sa,
|me |de|gno a |ciò |né |io |né |al|tri ’l |cre|de.
|di |ver’ |po|nen|te, un |pa|stor |san|za |leg|ge,
|O |voi |che |sie|te in |pic|cio|let|ta |bar|ca,
|fer |di|spre|gia|re a |me |tut|te al|tre |set|te.
